"gameId","id","date","value","rating","storeId","releasedate","minvalue","maxvalue","beforedate","beforevalue","nextdate","nextvalue"
"29af389b-02cf-4393-9e2e-9f7ccf63d803",1,2018-12-09,999,0.00,3,2013-12-13,999,999,2018-12-09,999,,
"29b2b64a-761d-4924-ad77-b15adec83161",6,2019-03-01,199,0.10,1,2007-12-31,79,399,2019-02-11,399,,
"29b521b6-d2dd-4429-9295-268325ed43fe",5,2019-02-11,899,0.59,1,2017-10-31,359,899,2019-02-04,359,,
"29b98132-049f-43e8-823f-feaf9045ae79",5,2019-02-12,999,0.00,1,2018-09-10,699,999,2019-02-05,799,,
"29ba1a36-1804-4515-bfeb-721d39ccedb2",1,2018-12-09,1999,0.70,3,2018-03-08,1999,1999,2018-12-09,1999,,
"29ba1a36-1804-4515-bfeb-721d39ccedb2",5,2019-02-12,1999,0.70,1,2018-03-08,999,1999,2019-02-05,999,,
"29bf1c60-6161-46dd-96f6-9467ecf6eda8",1,2018-12-17,999,0.85,1,2011-04-27,999,999,2018-12-17,999,,
"29c80974-fef5-4585-a7cc-6ca018728289",6,2019-02-24,99,0.10,1,2016-10-14,99,399,2019-02-12,399,,
"29ce8c2d-7263-4ee5-b541-9b717baf8540",1,2018-12-09,499,0.80,3,2015-03-26,499,499,2018-12-09,499,,
"29ce8c2d-7263-4ee5-b541-9b717baf8540",7,2019-02-12,499,0.80,1,2015-03-26,224,499,2019-02-07,249,,
"29cf804c-b4ae-4925-8745-a24e063c58b4",2,2019-01-25,1499,0.39,4,2012-10-29,749,1499,2019-01-22,749,,
"29cf804c-b4ae-4925-8745-a24e063c58b4",3,2019-01-04,1499,0.39,2,2012-10-29,379,1499,2018-12-14,379,,
"29d00002-1277-4086-aa71-c14d063f40c5",1,2018-12-17,799,0.10,1,2015-08-11,799,799,2018-12-17,799,,
"29d178ae-c36d-49ec-bd7d-00213d45662a",5,2019-02-12,299,0.00,1,2018-02-22,149,299,2019-02-02,149,,
"29d1877c-ddb3-4692-9a90-4e103a40f939",5,2019-02-12,399,0.10,1,2016-05-16,159,399,2019-02-05,159,,
"29d7b10a-19b6-4e69-8fae-95d71e7cef09",1,2018-12-18,999,0.42,1,2013-07-04,999,999,2018-12-18,999,,
"29d7b10a-19b6-4e69-8fae-95d71e7cef09",2,2019-01-29,999,0.42,4,2013-07-04,199,999,2019-01-22,199,,
"29d7ca96-7fd1-4797-b48e-5fdfe3ad14ab",1,2018-12-09,999,0.10,3,2012-05-25,999,999,2018-12-09,999,,
"29d7ca96-7fd1-4797-b48e-5fdfe3ad14ab",3,2019-01-04,499,0.10,1,2012-05-25,274,499,2018-12-21,274,,
"29d9ffeb-317a-43bb-a728-81bd66317a09",5,2019-02-12,999,0.10,1,2013-08-12,199,999,2019-02-05,249,,
"29dcc683-a9b7-4ee4-8745-e08ef2d14def",1,2018-12-18,299,0.00,1,2018-03-29,299,299,2018-12-18,299,,
"29de652f-3ac4-497e-b2dc-4b27eb499cbe",5,2019-02-13,499,0.00,1,2018-06-12,249,499,2019-02-05,249,,
"29e3a3d4-9c86-4513-8280-a8b2ec8c8ff6",1,2019-02-05,399,0,1,2019-01-29,399,399,2019-02-05,399,,
"29e4c75d-53e9-4224-91e6-e4040f0a17ba",2,2019-01-25,1499,0.39,4,2015-04-15,299,1499,2019-01-22,299,,
